timestamp,voltage,frequency,hashrate,temperature,power,efficiency
2025-09-10T22:35:34.560426,1150,750,1611.94455219151,65.625,23.419801712036133,68.82827497907823
2025-09-10T22:36:34.610150,1150,750,1618.7871248517638,65.625,23.419801712036133,69.12044537165406
2025-09-10T22:37:34.680115,1150,750,1729.847233906919,65.5,23.352659225463867,74.07495725457613
2025-09-10T22:38:34.726198,1150,750,1702.3758217692935,65.375,23.352659225463867,72.89858535309818
2025-09-10T22:39:34.764909,1150,750,1686.891415012174,65.5,23.38836669921875,72.12523374146181
2025-09-10T22:40:34.808534,1150,750,1362.5032474656932,65.875,23.45977783203125,58.07826728884763
2025-09-10T22:41:34.870247,1150,750,1250.421740664128,66,23.491331100463867,53.229071410067384
2025-09-10T22:42:34.926170,1150,750,1724.0769717491166,66.25,23.53118896484375,73.26773731344113
2025-09-10T22:43:34.977252,1150,750,1674.4157589170834,66.25,23.60260009765625,70.9420043549928
2025-09-10T22:44:35.026589,1150,750,1459.0739605340132,66.625,23.67401123046875,61.631885966843114
2025-09-10T22:45:35.114316,1150,750,1576.0456094933293,66.625,23.67401123046875,66.57281667016102
2025-09-10T22:46:35.180524,1150,750,1486.5898249796473,66.25,23.60260009765625,62.98415508583169
2025-09-10T22:47:35.298647,1150,750,1662.4040366265267,65.875,23.45977783203125,70.8618831997945
2025-09-10T22:48:35.365672,1150,750,1533.736704294423,65.625,23.45556640625,65.38902867362613
2025-09-10T22:49:35.418982,1150,750,1431.4237552912866,65.375,23.384033203125,61.21372403371347
2025-09-10T22:50:35.477814,1150,750,1575.4159057466,65.375,23.352659225463867,67.4619490027396
2025-09-10T22:51:35.528612,1150,750,1438.9617602431395,65.75,23.45977783203125,61.33739929448206
2025-09-10T22:52:35.583333,1150,750,1747.3089580927929,66,23.495485305786133,74.36785983997063
2025-09-10T22:53:35.636442,1150,750,1347.862724977158,66.25,23.5986328125,57.116136162905434
2025-09-10T22:54:35.682169,1150,750,1393.9480103105038,66.125,23.53118896484375,59.23831610859531
2025-09-10T22:55:35.747476,1150,750,1862.8551939290132,66.125,23.53118896484375,79.16536630223703
2025-09-10T22:56:35.839036,1150,750,1614.2616708880826,66.375,23.60260009765625,68.39338311071836
2025-09-10T22:57:35.893435,1150,750,1484.1140733595391,66.75,23.638303756713867,62.78428810434479
2025-09-10T22:58:35.985918,1150,750,1466.0994651020135,66.75,23.638303756713867,62.02219415534859
2025-09-10T22:59:36.047382,1150,750,1568.4279137759133,67,23.74169921875,66.06215921298707
2025-09-10T23:00:36.103756,1150,750,1525.4179989132936,67,23.709716796875,64.33725092466508
2025-09-10T23:01:36.173435,1150,750,1544.5987835426565,67,23.74542236328125,65.0482758281507
2025-09-10T23:02:36.230812,1150,750,1521.201200900767,67.125,23.74542236328125,64.0629245345864
2025-09-10T23:03:36.304147,1150,750,1393.563071207607,67,23.74542236328125,58.68765145077159
2025-09-10T23:04:36.362752,1150,750,1440.5715841054373,67,23.74542236328125,60.667338827085516
2025-09-10T23:05:36.453945,1150,750,1713.2629517527726,67.25,23.781129837036133,72.04295857653408
2025-09-10T23:06:36.534266,1150,750,1700.925926691946,67.125,23.781129837036133,71.52418486202312
2025-09-10T23:07:36.597273,1150,750,1440.7399332376206,66.75,23.709716796875,60.765801024983716
2025-09-10T23:08:36.669726,1150,750,1440.6768321934305,67,23.777463912963867,60.59001235232449
2025-09-10T23:09:36.748791,1150,750,1512.2633863518838,67.125,23.74169921875,63.69651019576452
2025-09-10T23:10:36.804956,1150,750,1487.2749597634604,67,23.813232421875,62.45582008418308
2025-09-10T23:11:36.848154,1150,750,1362.619022478763,67.125,23.74542236328125,57.384492961719225
2025-09-10T23:12:36.907406,1150,750,1473.4068465496625,67.125,23.81683349609375,61.864094855066234
2025-09-10T23:13:36.955586,1150,750,1595.7124804691105,67.25,23.74542236328125,67.20084638025396
2025-09-10T23:14:36.997737,1150,750,1413.0923620829865,67.125,23.81683349609375,59.331663981055705
2025-09-10T23:15:37.047766,1150,750,1599.1125215316442,67.125,23.781129837036133,67.2429162318952
2025-09-10T23:16:37.130782,1150,750,1563.8035975659327,67,23.74542236328125,65.8570554627877
2025-09-10T23:17:37.191403,1150,750,1423.6037762886128,67,23.813232421875,59.78204684975403
2025-09-10T23:18:37.233894,1150,750,1531.1459419933576,67,23.74542236328125,64.48173119721156
2025-09-10T23:19:38.394296,1150,750,1640.9037178093563,67,23.81683349609375,68.89680435808079
2025-09-10T23:20:38.431846,1150,750,1510.03441683618,67.125,23.781129837036133,63.49716885547172
2025-09-10T23:21:38.500336,1150,750,1261.8955774849862,67.125,23.781129837036133,53.06289424145618
2025-09-10T23:22:38.544885,1150,750,1637.5950039304028,67.125,23.777463912963867,68.87172702373691
2025-09-10T23:23:38.602344,1150,750,1508.1921774350644,67.125,23.74542236328125,63.515070583341505
2025-09-10T23:24:38.665583,1150,750,1489.7263776890832,67.125,23.781129837036133,62.643212828728636
2025-09-10T23:25:38.710605,1150,750,1401.7547013741162,67.125,23.74542236328125,59.0326286864335
2025-09-10T23:26:38.758123,1150,750,0,-1,13.279969215393066,0.0
2025-09-10T23:27:38.816919,1150,750,1466.5638746554791,66.25,23.53118896484375,62.32425725901765
2025-09-10T23:28:38.855673,1150,750,1628.2767862347853,66.875,23.705934524536133,68.68646264712683
2025-09-10T23:29:38.899585,1150,750,1562.162387543715,67,23.777463912963867,65.69928539317426
2025-09-10T23:30:38.934893,1150,750,1558.2881705453206,67.125,23.74542236328125,65.62478218770202
